a433-microservices-item-db-1  | 2023-09-17T12:09:23.201+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-09-17T12:09:23.201+0000 I FTDC     [signalProcessingThread] Shutting down full-time diagnostic data capture
a433-microservices-item-db-1  | 2023-09-17T12:09:23.203+0000 I STORAGE  [signalProcessingThread] WiredTigerKVEngine shutting down
a433-microservices-item-db-1  | 2023-09-17T12:09:23.343+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
a433-microservices-item-db-1  | 2023-09-17T12:09:23.343+0000 I CONTROL  [signalProcessingThread] now exiting
a433-microservices-item-db-1  | 2023-09-17T12:09:23.343+0000 I CONTROL  [signalProcessingThread] shutting down with code:0
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=748a45c3b0e6
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-09-17T12:09:31.621+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
